iter	Accuracy	Logloss
321	0.9882815367	0.07099553306
322	0.9882448017	0.07061277449
323	0.9883550067	0.0702454411
324	0.9886488867	0.06991123563
325	0.9886488867	0.06968463698
326	0.9887590917	0.06932117253
327	0.9887958267	0.0691504548
328	0.9888692966	0.06875949769
329	0.9890897066	0.06840309209
330	0.9891631766	0.06800046036
331	0.9891631766	0.06781619372
332	0.9892366466	0.06757844472
333	0.9892366466	0.06732890109
334	0.9892733816	0.06705136673
335	0.9894937915	0.06671795043
336	0.9897142015	0.06641626856
337	0.9898244065	0.06611169744
338	0.9898978765	0.06587796579
339	0.9900815515	0.06542759873
340	0.9901182865	0.06479366126
341	0.9901182865	0.06445023781
342	0.9901550215	0.06426084437
343	0.9903019614	0.06397840418
344	0.9903019614	0.06388841531
345	0.9904121664	0.06353169759
346	0.9905223714	0.06337315943
347	0.9907060464	0.06304928179
348	0.9907427814	0.0627250504
349	0.9908162514	0.0623928069
350	0.9909264563	0.06219221795
351	0.9911101313	0.06196578906
352	0.9911836013	0.06175405366
353	0.9913672763	0.06149638967
354	0.9914407463	0.06118821388
355	0.9915509512	0.06066188076
356	0.9915509512	0.06053196663
357	0.9916978912	0.06029212346
358	0.9917346262	0.06008927111
359	0.9917713612	0.05986491097
360	0.9917713612	0.05973862864
361	0.9919183012	0.05942945476
362	0.9919183012	0.05920142787
363	0.9921019762	0.05894154446
364	0.9921019762	0.05875538685
365	0.9921019762	0.05862197375
366	0.9921754462	0.05839063287
367	0.9923591211	0.05804436947
368	0.9924693261	0.05775663772
369	0.9924693261	0.05753881668
370	0.9923958561	0.05736391134
371	0.9924693261	0.05721314399
372	0.9925427961	0.05703102695
373	0.9925427961	0.05676121344
374	0.9926162661	0.05657957319
375	0.9926162661	0.05637697196
376	0.9926530011	0.05627976887
377	0.9926162661	0.05615783043
378	0.9926530011	0.05594805692
379	0.9928734111	0.05561728045
380	0.992910146	0.0554727457
381	0.993020351	0.05519357692
382	0.993204026	0.05495943186
383	0.993167291	0.05478105915
384	0.993314231	0.05459529118
385	0.993424436	0.05437304747
386	0.993497906	0.054109132
387	0.993424436	0.05401369072
388	0.9936448459	0.05379864831
389	0.9937917859	0.05351155495
390	0.9937917859	0.05334769622
391	0.9937550509	0.05315948147
392	0.9937917859	0.05290787313
393	0.9938652559	0.05272703348
394	0.9939019909	0.05255128003
395	0.9939019909	0.05243097337
396	0.9940121959	0.05226398357
397	0.9941224009	0.05193444296
398	0.9941224009	0.05175061329
399	0.9942326059	0.05142049537
